Member,Order,SKU,Date,Description
M09736,6656240,7623116,2014-07-28,Liquid Soaps & Bars
M09736,6656240,15669884,2014-07-28,Whole Spices
M09736,6672349,15669856,2014-01-08,Sugar
M09736,6672349,34989501,2014-01-08,Other Dals
M09736,6672349,34987568,2014-01-08,Whole Spices
M09736,6672349,15669777,2014-01-08,Urad Dal
M09736,6672349,21409124,2014-01-08,Sugar Cubes
M09736,6672349,7572303,2014-01-08,Namkeen
M09736,6672349,15669859,2014-01-08,Toor Dal
M09736,6672349,15669789,2014-01-08,Boiled Rice
M09736,6672349,15669823,2014-01-08,Whole Spices
M09736,6672349,93025752,2014-01-08,Cream Biscuits
M09736,6672349,15668381,2014-01-08,Other Vegetables
M09736,6672349,15669760,2014-01-08,Whole Spices
M09736,6672349,15669815,2014-01-08,Jaggery
M09736,6672349,15668685,2014-01-08,Beans
M09736,6687487,34992816,2014-07-18,Cookies
M09736,6687487,7572303,2014-07-18,Namkeen
M09736,6687487,15669856,2014-07-18,Sugar
M09736,6687487,15668478,2014-07-18,Banana
M09736,6687487,7569803,2014-07-18,Namkeen
M09736,6687487,34989501,2014-07-18,Other Dals
M09736,6687487,34989499,2014-07-18,Other Dals
M09736,6704782,21409124,2014-07-23,Sugar Cubes
M09736,6704782,7572303,2014-07-23,Namkeen
M09736,6704782,15669777,2014-07-23,Urad Dal
M09736,6704782,15669830,2014-07-23,Other Rice Products
M09736,6704782,15669865,2014-07-23,Other Dals
M09736,6704782,15669789,2014-07-23,Boiled Rice
M09736,6704782,15669856,2014-07-23,Sugar
M09736,6704782,15669859,2014-07-23,Toor Dal
M09736,6704782,34989440,2014-07-23,Other Rice Products
M09736,6704782,34989441,2014-07-23,Soya Products
M09736,6723554,15668478,2014-09-07,Banana
M09736,6723554,7637248,2014-09-07,Mosquito Repellent
M09736,6734605,15668468,2014-07-13,Beans
M09736,6734605,15669767,2014-07-13,Urad Dal
M09736,6734605,15668381,2014-07-13,Other Vegetables
M09736,6734605,15668465,2014-07-13,Root Vegetables
M09736,6734605,15669780,2014-07-13,Sugar
M09736,6734605,15670252,2014-07-13,Organic F&V
M09736,6734605,15668688,2014-07-13,Root Vegetables
M09736,6734605,34989441,2014-07-13,Soya Products
M09736,6734605,7572306,2014-07-13,Snacky Nuts
M09736,6734605,15669865,2014-07-13,Other Dals
M09736,6734605,15669970,2014-07-13,Cashews
M09736,6734605,15669859,2014-07-13,Toor Dal
M09736,6734605,15668684,2014-07-13,Beans
M09736,6734605,34989501,2014-07-13,Other Dals
M09736,6743451,15669790,2014-07-15,Other Rice Products
M09736,6743451,15669884,2014-07-15,Whole Spices
M09736,6743451,29247229,2014-07-15,Whole Spices
M09736,6759502,15669884,2014-01-07,Whole Spices
M09736,6759502,29247229,2014-01-07,Whole Spices
M09736,6774006,15669777,2014-05-07,Urad Dal
M09736,6774006,7623116,2014-05-07,Liquid Soaps & Bars
M09736,6774006,15669830,2014-05-07,Other Rice Products
M09736,6774006,15669874,2014-05-07,Avalakki / Poha
M09736,6774006,34986119,2014-05-07,Whole Spices
M09736,6774006,15669856,2014-05-07,Sugar
M09736,6774006,15669764,2014-05-07,Besan
M09736,6774006,15669789,2014-05-07,Boiled Rice
M09736,6774006,15669778,2014-05-07,Other Dals
M09736,6774006,15669782,2014-05-07,Raw Rice
M09736,6774006,7572306,2014-05-07,Snacky Nuts
M09736,6774006,15669871,2014-05-07,Other Rice Products
M09736,6774006,15668478,2014-05-07,Banana
M09736,6774006,15669772,2014-05-07,Other Dals
M09736,6774006,15668379,2014-05-07,Other Vegetables
M09736,6786934,34987566,2014-06-19,Whole Spices
M09736,6786934,15668416,2014-06-19,Banana
M09736,6794402,15668381,2014-06-22,Other Vegetables
M09736,6794402,92436826,2014-06-22,Washing Bars
M09736,6794402,15669767,2014-06-22,Urad Dal
M09736,6794402,15669803,2014-06-22,Cashews
M09736,6794402,34987569,2014-06-22,Powdered Spices
M09736,6794402,15669830,2014-06-22,Other Rice Products
M09736,6794402,15669863,2014-06-22,Moong Dal
M09736,6794402,7572306,2014-06-22,Snacky Nuts
M09736,6794402,21409002,2014-06-22,Moong Dal
M09736,6794402,15669772,2014-06-22,Other Dals
M09736,6794402,15669965,2014-06-22,Raisins
M09736,6794402,15668375,2014-06-22,Root Vegetables
M09736,6794402,15669789,2014-06-22,Boiled Rice
M09736,6794402,34990774,2014-06-22,Eggs
M09736,6794402,15669856,2014-06-22,Sugar
M09736,6794402,15668685,2014-06-22,Beans
M09736,6794402,15669811,2014-06-22,Almonds
M09736,6794402,15668478,2014-06-22,Banana
M09736,6811376,34992815,2014-06-27,Cookies
M09736,6811376,15669815,2014-06-27,Jaggery
M09736,6811376,7569805,2014-06-27,Namkeen
M09736,6811376,15669859,2014-06-27,Toor Dal
M09736,6811376,34990774,2014-06-27,Eggs
M09736,6811376,15668375,2014-06-27,Root Vegetables
M09736,6811376,21409124,2014-06-27,Sugar Cubes
M09736,6811376,15668478,2014-06-27,Banana
M09736,6811376,7572306,2014-06-27,Snacky Nuts
M09736,6811376,15668465,2014-06-27,Root Vegetables
M09736,6811376,15668685,2014-06-27,Beans
M09736,6811376,15669965,2014-06-27,Raisins
M09736,7874962,34989501,2014-11-06,Other Dals
M09736,7874962,15669859,2014-11-06,Toor Dal
M09736,7874962,15668379,2014-11-06,Other Vegetables
M09736,7874962,15668478,2014-11-06,Banana
M09736,7874962,7569805,2014-11-06,Namkeen
M09736,7874962,7623116,2014-11-06,Liquid Soaps & Bars
M09736,7874962,29247171,2014-11-06,Whole Spices
M09736,7874962,15668685,2014-11-06,Beans
M09736,7874962,15668465,2014-11-06,Root Vegetables
M09736,7874962,15668377,2014-11-06,Root Vegetables
M09736,7874962,15668468,2014-11-06,Beans
M09736,7874962,15669856,2014-11-06,Sugar
M09736,7887787,7572306,2014-06-15,Snacky Nuts
M09736,7887787,15669856,2014-06-15,Sugar
M09736,7887787,34989209,2014-06-15,Corn Snacks
M09736,7887787,15669789,2014-06-15,Boiled Rice
M09736,7887787,15668416,2014-06-15,Banana
M09736,7931131,34986125,2014-05-17,Whole Spices
M09736,7931131,15669830,2014-05-17,Other Rice Products
M09736,7931131,15669823,2014-05-17,Whole Spices
M09736,7931131,15669970,2014-05-17,Cashews
M09736,7931131,15668685,2014-05-17,Beans
M09736,7931131,7580802,2014-05-17,Sunflower Oils
M09736,7931131,15668375,2014-05-17,Root Vegetables
M09736,7931131,15669810,2014-05-17,Almonds
M09736,7931131,15668465,2014-05-17,Root Vegetables
M09736,7931131,15668478,2014-05-17,Banana
M09736,7931131,7569805,2014-05-17,Namkeen
M09736,7931131,7572306,2014-05-17,Snacky Nuts
M09736,7931131,15668381,2014-05-17,Other Vegetables
M09736,7931131,34989441,2014-05-17,Soya Products
M09736,7931131,92436826,2014-05-17,Washing Bars
M09736,7931131,15669772,2014-05-17,Other Dals
M09736,7931131,15668468,2014-05-17,Beans
M09736,7931131,15669760,2014-05-17,Whole Spices
M09736,7931131,34989440,2014-05-17,Other Rice Products
M09736,7931131,15669821,2014-05-17,Whole Spices
M09736,7931131,15669789,2014-05-17,Boiled Rice
M09736,7931131,21409124,2014-05-17,Sugar Cubes
M09736,7931131,15669856,2014-05-17,Sugar
M09736,7931131,15669777,2014-05-17,Urad Dal
M09736,7948600,7569805,2014-05-23,Namkeen
M09736,7948600,21409124,2014-05-23,Sugar Cubes
M09736,7948600,15668478,2014-05-23,Banana
M09736,7948600,7624788,2014-05-23,Ghee
M09736,7948600,7547323,2014-05-23,Liquid Soaps & Bars
M09736,7948600,7572306,2014-05-23,Snacky Nuts
M09736,7948600,15669772,2014-05-23,Other Dals
M09736,7948600,34989209,2014-05-23,Corn Snacks
M09736,7948600,15669789,2014-05-23,Boiled Rice
M09736,7948600,15668685,2014-05-23,Beans
M09736,7948600,15668375,2014-05-23,Root Vegetables
M09736,7948600,15669965,2014-05-23,Raisins
M09736,7948600,15668468,2014-05-23,Beans
M09736,7948600,15669856,2014-05-23,Sugar
M09736,7948600,15669777,2014-05-23,Urad Dal
M09736,7969005,15668381,2014-07-05,Other Vegetables
M09736,7969005,15669861,2014-07-05,Raw Peanuts
M09736,7969005,15668521,2014-07-05,Bread
M09736,7969005,15668478,2014-07-05,Banana
M09736,7980335,7572306,2014-11-05,Snacky Nuts
M09736,7980335,15668478,2014-11-05,Banana
M09736,7980335,34989501,2014-11-05,Other Dals
M09736,7980335,15669777,2014-11-05,Urad Dal
M09736,7980335,21409124,2014-11-05,Sugar Cubes
M09736,7980335,15668465,2014-11-05,Root Vegetables
M09736,7980335,15669859,2014-11-05,Toor Dal
M09736,7980335,15669789,2014-11-05,Boiled Rice
M09736,7980335,34989440,2014-11-05,Other Rice Products
M09736,7980335,15669856,2014-11-05,Sugar
M09736,7998535,15668478,2014-04-23,Banana
M09736,8008269,34989440,2014-04-27,Other Rice Products
M09736,8008269,34989499,2014-04-27,Other Dals
M09736,8008269,34989501,2014-04-27,Other Dals
M09736,8008269,93025752,2014-04-27,Cream Biscuits
M09736,8008269,15668379,2014-04-27,Other Vegetables
M09736,8008269,15668468,2014-04-27,Beans
M09736,8008269,15669767,2014-04-27,Urad Dal
M09736,8008269,7580802,2014-04-27,Sunflower Oils
M09736,8008269,15669859,2014-04-27,Toor Dal
M09736,8008269,15668377,2014-04-27,Root Vegetables
M09736,8008269,7594821,2014-04-27,Instant Noodles
M09736,8008269,15668478,2014-04-27,Banana
M09736,8008269,15669789,2014-04-27,Boiled Rice
M09736,8008269,7547323,2014-04-27,Liquid Soaps & Bars
M09736,8008269,15669856,2014-04-27,Sugar
M09736,8014606,7585573,2014-04-29,Cakes
M09736,8026271,15669815,2014-04-05,Jaggery
M09736,8026271,15669884,2014-04-05,Whole Spices
M09736,8026271,15669764,2014-04-05,Besan
M09736,8026271,7569805,2014-04-05,Namkeen
M09736,8026271,15668381,2014-04-05,Other Vegetables
M09736,8026271,34986129,2014-04-05,Whole Spices
M09736,8026271,93025752,2014-04-05,Cream Biscuits
M09736,8026271,15668685,2014-04-05,Beans
M09736,8026271,29247229,2014-04-05,Whole Spices
M09736,8026271,7585571,2014-04-05,Cakes
M09736,8026271,15668478,2014-04-05,Banana
M09736,8030611,34989440,2014-08-04,Other Rice Products
M09736,8044079,15668416,2014-04-14,Banana
M09736,8044079,15669789,2014-04-14,Boiled Rice
M09736,8052390,15669804,2014-04-18,Cashews
M09736,8052390,29247171,2014-04-18,Whole Spices
M09736,8052390,15668468,2014-04-18,Beans
M09736,8052390,15668465,2014-04-18,Root Vegetables
M09736,8052390,15669815,2014-04-18,Jaggery
M09736,8052390,7623116,2014-04-18,Liquid Soaps & Bars
M09736,8052390,15669963,2014-04-18,Raisins
M09736,8052390,21409124,2014-04-18,Sugar Cubes
M09736,8052390,15669830,2014-04-18,Other Rice Products
M09736,8052390,7585571,2014-04-18,Cakes
M09736,8052390,15669856,2014-04-18,Sugar
M09736,8052390,15669965,2014-04-18,Raisins
M09736,8052390,15668462,2014-04-18,Gourd & Cucumber
M09736,8052390,7753739,2014-04-18,Health Drinks
M09736,8057553,15669863,2014-04-20,Moong Dal
M09736,8057553,15669860,2014-04-20,Moong Dal
M09736,8057553,92436826,2014-04-20,Washing Bars
M09736,8057553,15669858,2014-04-20,Boiled Rice
M09736,8057553,7572306,2014-04-20,Snacky Nuts
M09736,8057553,7608484,2014-04-20,"Shaving Cream, Foam & Gels"
M09736,8057553,21409124,2014-04-20,Sugar Cubes
M09736,8057553,7569805,2014-04-20,Namkeen
M09736,8057553,15668416,2014-04-20,Banana
M09736,8057553,15668377,2014-04-20,Root Vegetables
M09736,8062224,7572306,2014-03-26,Snacky Nuts
M09736,8062224,15668478,2014-03-26,Banana
M09736,8062224,34990774,2014-03-26,Eggs
M09736,8062224,15669856,2014-03-26,Sugar
M09736,8062224,15668467,2014-03-26,Beans
M09736,8062224,15668381,2014-03-26,Other Vegetables
M09736,8062224,7623116,2014-03-26,Liquid Soaps & Bars
M09736,8062224,15669777,2014-03-26,Urad Dal
M09736,8062224,21409124,2014-03-26,Sugar Cubes
M09736,8062224,15669965,2014-03-26,Raisins
M09736,8062224,92436826,2014-03-26,Washing Bars
M09736,8068900,7572306,2014-03-29,Snacky Nuts
M09736,8068900,34991187,2014-03-29,Bread
M09736,8068900,15669804,2014-03-29,Cashews
M09736,8068900,7569805,2014-03-29,Namkeen
M09736,8068900,15668478,2014-03-29,Banana
M09736,8087495,7572306,2014-05-04,Snacky Nuts
M09736,8087495,21409124,2014-05-04,Sugar Cubes
M09736,8087495,34989441,2014-05-04,Soya Products
M09736,8087495,15668381,2014-05-04,Other Vegetables
M09736,8087495,15669777,2014-05-04,Urad Dal
M09736,8087495,93025752,2014-05-04,Cream Biscuits
M09736,8087495,34989501,2014-05-04,Other Dals
M09736,8087495,34989595,2014-05-04,Raisins
M09736,8087495,15669863,2014-05-04,Moong Dal
M09736,8087495,15669871,2014-05-04,Other Rice Products
M09736,8087495,15669859,2014-05-04,Toor Dal
M09736,8087495,15668468,2014-05-04,Beans
M09736,8087495,15668465,2014-05-04,Root Vegetables
M09736,8087495,15669856,2014-05-04,Sugar
M09736,8087495,15668416,2014-05-04,Banana
M09736,8087495,15668377,2014-05-04,Root Vegetables
M09736,8087495,15669965,2014-05-04,Raisins
M09736,8087495,15669797,2014-05-04,Raisins
M09736,8093634,7585571,2014-07-04,Cakes
M09736,8104219,15668381,2014-03-15,Other Vegetables
M09736,8104219,7569805,2014-03-15,Namkeen
M09736,8104219,15668468,2014-03-15,Beans
M09736,8104219,21409124,2014-03-15,Sugar Cubes
M09736,8104219,7572306,2014-03-15,Snacky Nuts
M09736,8104219,15668685,2014-03-15,Beans
M09736,8104219,15669815,2014-03-15,Jaggery
M09736,8104219,34988771,2014-03-15,Other Sweets
M09736,8104219,15669856,2014-03-15,Sugar
M09736,8104219,15668521,2014-03-15,Bread
M09736,8104219,15668416,2014-03-15,Banana
M09736,8104219,15668377,2014-03-15,Root Vegetables
M09736,8116554,15668453,2014-03-21,Brinjals
M09736,8116554,15669772,2014-03-21,Other Dals
M09736,8116554,15668416,2014-03-21,Banana
M09736,8116554,15669760,2014-03-21,Whole Spices
M09736,8116554,15668468,2014-03-21,Beans
M09736,8116554,15669821,2014-03-21,Whole Spices
M09736,8116554,15668521,2014-03-21,Bread
M09736,8116554,15669830,2014-03-21,Other Rice Products
M09736,8116554,15669789,2014-03-21,Boiled Rice
M09736,8116554,15668377,2014-03-21,Root Vegetables
M09736,8116554,15669810,2014-03-21,Almonds
M09736,8116554,7572306,2014-03-21,Snacky Nuts
M09736,8132674,15668416,2014-02-28,Banana
M09736,8132674,15668684,2014-02-28,Beans
M09736,8132674,15669859,2014-02-28,Toor Dal
M09736,8132674,15669810,2014-02-28,Almonds
M09736,8132674,15669865,2014-02-28,Other Dals
M09736,8132674,15668377,2014-02-28,Root Vegetables
M09736,8132674,15669772,2014-02-28,Other Dals
M09736,8132674,21409124,2014-02-28,Sugar Cubes
M09736,8132674,15668468,2014-02-28,Beans
M09736,8132674,15669789,2014-02-28,Boiled Rice
M09736,8132674,15669856,2014-02-28,Sugar
M09736,8132674,15668381,2014-02-28,Other Vegetables
M09736,8132674,15669830,2014-02-28,Other Rice Products
M09736,8132674,7572306,2014-02-28,Snacky Nuts
M09736,8132674,15668521,2014-02-28,Bread
M09736,8132674,34990774,2014-02-28,Eggs
M09736,8132674,7569805,2014-02-28,Namkeen
M09736,8143489,34990774,2014-04-03,Eggs
M09736,8143489,7569805,2014-04-03,Namkeen
M09736,8143489,15668416,2014-04-03,Banana
M09736,8143489,15669772,2014-04-03,Other Dals
M09736,8143489,15668685,2014-04-03,Beans
M09736,8143489,15668462,2014-04-03,Gourd & Cucumber
M09736,8143489,15668465,2014-04-03,Root Vegetables
M09736,8143489,15668451,2014-04-03,Brinjals
M09736,8143489,15668468,2014-04-03,Beans
M09736,8143489,15668381,2014-04-03,Other Vegetables
M09736,8143489,34989441,2014-04-03,Soya Products
M09736,8143489,7570695,2014-04-03,Hair Oil
M09736,8143489,15669799,2014-04-03,Raisins
M09736,8156232,15668416,2014-09-03,Banana
M09736,8156232,21409124,2014-09-03,Sugar Cubes
M09736,8156232,15669778,2014-09-03,Other Dals
M09736,8156232,34990774,2014-09-03,Eggs
M09736,8156232,15668521,2014-09-03,Bread
M09736,8156232,15668468,2014-09-03,Beans
M09736,8156232,7569805,2014-09-03,Namkeen
M09736,8156232,7548511,2014-09-03,Liquid Soaps & Bars
M09736,8156232,34990551,2014-09-03,Cream Biscuits
M09736,8156232,15669767,2014-09-03,Urad Dal
M09736,8156232,34988584,2014-09-03,Ground Coffee
M09736,8156232,15669789,2014-09-03,Boiled Rice
M09736,8156232,15669884,2014-09-03,Whole Spices
M09736,8156232,15669856,2014-09-03,Sugar
M09736,8156232,15669810,2014-09-03,Almonds
M09736,8156232,15669799,2014-09-03,Raisins
M09736,8156232,15669874,2014-09-03,Avalakki / Poha
M09736,8156232,7572306,2014-09-03,Snacky Nuts
M09736,8156232,15669772,2014-09-03,Other Dals
M09736,8166849,34989440,2014-02-15,Other Rice Products
M09736,8166849,15668377,2014-02-15,Root Vegetables
M09736,8166849,15669799,2014-02-15,Raisins
M09736,8166849,15668416,2014-02-15,Banana
M09736,8166849,15668462,2014-02-15,Gourd & Cucumber
M09736,8166849,15668685,2014-02-15,Beans
M09736,8166849,34989441,2014-02-15,Soya Products
M09736,8166849,15669789,2014-02-15,Boiled Rice
M09736,8166849,21409124,2014-02-15,Sugar Cubes
M09736,8166849,34989595,2014-02-15,Raisins
M09736,8166849,34989501,2014-02-15,Other Dals
M09736,8166849,34990774,2014-02-15,Eggs
M09736,8166849,15668468,2014-02-15,Beans
M09736,8166849,15668465,2014-02-15,Root Vegetables
M09736,8166849,7623116,2014-02-15,Liquid Soaps & Bars
M09736,8166849,34989209,2014-02-15,Corn Snacks
M09736,8166849,7624788,2014-02-15,Ghee
M09736,8166849,15669811,2014-02-15,Almonds
M09736,8166849,15668379,2014-02-15,Other Vegetables
M09736,8166849,7572306,2014-02-15,Snacky Nuts
M09736,8181410,7570594,2014-02-21,Shoe Polish
M09736,8181410,34990774,2014-02-21,Eggs
M09736,8181410,92436826,2014-02-21,Washing Bars
M09736,8181410,15668467,2014-02-21,Beans
M09736,8181410,15669823,2014-02-21,Whole Spices
M09736,8181410,34989595,2014-02-21,Raisins
M09736,8181410,15669856,2014-02-21,Sugar
M09736,8181410,15669777,2014-02-21,Urad Dal
M09736,8181410,15669808,2014-02-21,Other Dry Fruits
M09736,8184240,93025752,2014-02-22,Cream Biscuits
M09736,8184240,34990774,2014-02-22,Eggs
M09736,8184240,29247171,2014-02-22,Whole Spices
M09736,8184240,7572306,2014-02-22,Snacky Nuts
M09736,8184240,15668375,2014-02-22,Root Vegetables
M09736,8184240,15668416,2014-02-22,Banana
M09736,8199070,34989207,2014-01-31,Corn Snacks
M09736,8199070,15669965,2014-01-31,Raisins
M09736,8199070,7572306,2014-01-31,Snacky Nuts
M09736,8199070,15669804,2014-01-31,Cashews
M09736,8199070,15669865,2014-01-31,Other Dals
M09736,8199070,15668521,2014-01-31,Bread
M09736,8199070,21409124,2014-01-31,Sugar Cubes
M09736,8199070,15668467,2014-01-31,Beans
M09736,8199070,15668375,2014-01-31,Root Vegetables
M09736,8199070,15668685,2014-01-31,Beans
M09736,8199070,34989209,2014-01-31,Corn Snacks
M09736,8199070,15669780,2014-01-31,Sugar
M09736,8199070,34990774,2014-01-31,Eggs
M09736,8199070,15669859,2014-01-31,Toor Dal
M09736,8199070,15668416,2014-01-31,Banana
M09736,8204275,15669871,2014-02-02,Other Rice Products
M09736,8204275,15669784,2014-02-02,Basmati Rice
M09736,8215927,15668521,2014-08-02,Bread
M09736,8215927,15669767,2014-08-02,Urad Dal
M09736,8215927,15668467,2014-08-02,Beans
M09736,8215927,34989207,2014-08-02,Corn Snacks
M09736,8215927,7569805,2014-08-02,Namkeen
M09736,8215927,15668416,2014-08-02,Banana
M09736,8215927,15669856,2014-08-02,Sugar
M09736,8215927,15669789,2014-08-02,Boiled Rice
M09736,8215927,7572306,2014-08-02,Snacky Nuts
M09736,8215927,34989501,2014-08-02,Other Dals
M09736,8215927,7548511,2014-08-02,Liquid Soaps & Bars
M09736,8215927,15669760,2014-08-02,Whole Spices
M09736,8215927,15669821,2014-08-02,Whole Spices
M09736,8215927,15669815,2014-08-02,Jaggery
M09736,8215927,15668377,2014-08-02,Root Vegetables
M09736,8215927,15669830,2014-08-02,Other Rice Products
M09736,8215927,7548497,2014-08-02,Liquid Soaps & Bars
M09736,8215927,15668381,2014-08-02,Other Vegetables
M09736,8215927,34989209,2014-08-02,Corn Snacks
M09736,8219272,15669799,2014-08-02,Raisins
M09736,8219272,21409124,2014-08-02,Sugar Cubes
M09736,8219272,15668685,2014-08-02,Beans
M09736,8225869,15668467,2014-12-01,Beans
M09736,8225869,7572306,2014-12-01,Snacky Nuts
M09736,8225869,7586526,2014-12-01,Snacky Nuts
M09736,8225869,15668416,2014-12-01,Banana
M09736,8225869,7593949,2014-12-01,Cream Biscuits
M09736,8225869,34989209,2014-12-01,Corn Snacks
M09736,8225869,15668377,2014-12-01,Root Vegetables
M09736,8235993,15668451,2014-01-17,Brinjals
M09736,8235993,15668462,2014-01-17,Gourd & Cucumber
M09736,8235993,15669780,2014-01-17,Sugar
M09736,8235993,15668416,2014-01-17,Banana
M09736,8235993,15669863,2014-01-17,Moong Dal
M09736,8235993,7593949,2014-01-17,Cream Biscuits
M09736,8235993,15668685,2014-01-17,Beans
M09736,8235993,34989207,2014-01-17,Corn Snacks
M09736,8235993,15668375,2014-01-17,Root Vegetables
M09736,8235993,7574425,2014-01-17,Liquid Soaps & Bars
M09736,8235993,34989441,2014-01-17,Soya Products
M09736,8235993,15669810,2014-01-17,Almonds
M09736,8235993,15669865,2014-01-17,Other Dals
M09736,8235993,7569805,2014-01-17,Namkeen
M09736,8235993,15668521,2014-01-17,Bread
M09736,8235993,15668378,2014-01-17,Other Vegetables
M09736,8235993,34989209,2014-01-17,Corn Snacks
M09736,8239232,34990774,2014-01-19,Eggs
